Path,Family (abbr.),Family (in full),Instrument (abbr.),Instrument (in full),Technique (abbr.),Technique (in full),Pitch,Pitch ID (if applicable),Dynamics,Dynamics ID (if applicable),Instance ID,Mute (abbr.),Mute (in full),String ID (if applicable),Needed digital retuning,Fold
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-D#2-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,D#2,39.0,f,3.0,0.0,S,Sordina,,False,3
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-D#2-p-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,D#2,39.0,p,1.0,0.0,S,Sordina,,False,1
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-D#3-f-N-T17u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,D#3,51.0,f,3.0,0.0,S,Sordina,,True,0
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-D#3-p-N-T17u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,D#3,51.0,p,1.0,0.0,S,Sordina,,True,2
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-D#4-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,D#4,63.0,f,3.0,0.0,S,Sordina,,False,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-D#4-p-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,D#4,63.0,p,1.0,0.0,S,Sordina,,False,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-D1-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,D1,26.0,f,3.0,0.0,S,Sordina,,False,0
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-D1-p-N-T14d.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,D1,26.0,p,1.0,0.0,S,Sordina,,True,2
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-D2-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,D2,38.0,f,3.0,0.0,S,Sordina,,False,3
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-D2-p-N-T24u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,D2,38.0,p,1.0,0.0,S,Sordina,,True,1
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-D3-f-N-T24u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,D3,50.0,f,3.0,0.0,S,Sordina,,True,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-D3-p-N-T18u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,D3,50.0,p,1.0,0.0,S,Sordina,,True,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-D4-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,D4,62.0,f,3.0,0.0,S,Sordina,,False,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-D4-p-N-T12d.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,D4,62.0,p,1.0,0.0,S,Sordina,,True,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-E1-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,E1,28.0,f,3.0,0.0,S,Sordina,,False,1
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-E1-p-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,E1,28.0,p,1.0,0.0,S,Sordina,,False,2
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-E2-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,E2,40.0,f,3.0,0.0,S,Sordina,,False,1
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-E2-p-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,E2,40.0,p,1.0,0.0,S,Sordina,,False,1
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-E3-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,E3,52.0,f,3.0,0.0,S,Sordina,,False,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-E3-p-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,E3,52.0,p,1.0,0.0,S,Sordina,,False,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-E4-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,E4,64.0,f,3.0,0.0,S,Sordina,,False,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-E4-p-N-T22d.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,E4,64.0,p,1.0,0.0,S,Sordina,,True,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-F#1-f-N-T61u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,F#1,30.0,f,3.0,0.0,S,Sordina,,True,2
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-F#1-p-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,F#1,30.0,p,1.0,0.0,S,Sordina,,False,2
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-F#2-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,F#2,42.0,f,3.0,0.0,S,Sordina,,False,1
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-F#2-p-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,F#2,42.0,p,1.0,0.0,S,Sordina,,False,3
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-F#3-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,F#3,54.0,f,3.0,0.0,S,Sordina,,False,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-F#3-p-N-T11u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,F#3,54.0,p,1.0,0.0,S,Sordina,,True,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-F#4-f-N-T24d.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,F#4,66.0,f,3.0,0.0,S,Sordina,,True,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-F#4-p-N-T15d.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,F#4,66.0,p,1.0,0.0,S,Sordina,,True,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-F1-f-N-T30d.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,F1,29.0,f,3.0,0.0,S,Sordina,,True,0
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-F1-p-N-T11d.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,F1,29.0,p,1.0,0.0,S,Sordina,,True,3
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-F2-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,F2,41.0,f,3.0,0.0,S,Sordina,,False,1
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-F2-p-N-T20u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,F2,41.0,p,1.0,0.0,S,Sordina,,True,2
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-F3-f-N-T28u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,F3,53.0,f,3.0,0.0,S,Sordina,,True,1
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-F3-p-N-T11u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,F3,53.0,p,1.0,0.0,S,Sordina,,True,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-F4-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,F4,65.0,f,3.0,0.0,S,Sordina,,False,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-F4-p-N-T27d.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,F4,65.0,p,1.0,0.0,S,Sordina,,True,0
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-G#0-f-N-T12d.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,G#0,20.0,f,3.0,0.0,S,Sordina,,True,2
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-G#0-p-N-T30d.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,G#0,20.0,p,1.0,0.0,S,Sordina,,True,0
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-G#1-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,G#1,32.0,f,3.0,0.0,S,Sordina,,False,1
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-G#1-p-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,G#1,32.0,p,1.0,0.0,S,Sordina,,False,2
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-G#2-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,G#2,44.0,f,3.0,0.0,S,Sordina,,False,3
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-G#2-p-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,G#2,44.0,p,1.0,0.0,S,Sordina,,False,3
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-G#3-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,G#3,56.0,f,3.0,0.0,S,Sordina,,False,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-G#3-p-N-T10u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,G#3,56.0,p,1.0,0.0,S,Sordina,,True,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-G#4-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,G#4,68.0,f,3.0,0.0,S,Sordina,,False,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-G#4-p-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,G#4,68.0,p,1.0,0.0,S,Sordina,,False,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-G1-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,G1,31.0,f,3.0,0.0,S,Sordina,,False,0
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-G1-p-N-T25d.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,G1,31.0,p,1.0,0.0,S,Sordina,,True,1
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-G2-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,G2,43.0,f,3.0,0.0,S,Sordina,,False,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-G2-p-N-T21u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,G2,43.0,p,1.0,0.0,S,Sordina,,True,1
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-G3-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,G3,55.0,f,3.0,0.0,S,Sordina,,False,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-G3-p-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,G3,55.0,p,1.0,0.0,S,Sordina,,False,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-G4-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,G4,67.0,f,3.0,0.0,S,Sordina,,False,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-G4-p-N-T10d.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,G4,67.0,p,1.0,0.0,S,Sordina,,True,4
Brass/Bass_Tuba/bisbigliando/BTb-bisb-A#1-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,A#1,34.0,mf,2.0,0.0,N,None,,False,1
Brass/Bass_Tuba/bisbigliando/BTb-bisb-A#2-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,A#2,46.0,mf,2.0,0.0,N,None,,False,0
Brass/Bass_Tuba/bisbigliando/BTb-bisb-A#3-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,A#3,58.0,mf,2.0,0.0,N,None,,False,2
Brass/Bass_Tuba/bisbigliando/BTb-bisb-A1-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,A1,33.0,mf,2.0,0.0,N,None,,False,3
Brass/Bass_Tuba/bisbigliando/BTb-bisb-A2-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,A2,45.0,mf,2.0,0.0,N,None,,False,1
Brass/Bass_Tuba/bisbigliando/BTb-bisb-A3-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,A3,57.0,mf,2.0,0.0,N,None,,False,3
Brass/Bass_Tuba/bisbigliando/BTb-bisb-B1-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,B1,35.0,mf,2.0,0.0,N,None,,False,4
Brass/Bass_Tuba/bisbigliando/BTb-bisb-B2-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,B2,47.0,mf,2.0,0.0,N,None,,False,2
Brass/Bass_Tuba/bisbigliando/BTb-bisb-B3-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,B3,59.0,mf,2.0,0.0,N,None,,False,3
Brass/Bass_Tuba/bisbigliando/BTb-bisb-C#2-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,C#2,37.0,mf,2.0,0.0,N,None,,False,0
Brass/Bass_Tuba/bisbigliando/BTb-bisb-C#3-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,C#3,49.0,mf,2.0,0.0,N,None,,False,2
Brass/Bass_Tuba/bisbigliando/BTb-bisb-C#4-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,C#4,61.0,mf,2.0,0.0,N,None,,False,3
Brass/Bass_Tuba/bisbigliando/BTb-bisb-C2-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,C2,36.0,mf,2.0,0.0,N,None,,False,0
Brass/Bass_Tuba/bisbigliando/BTb-bisb-C3-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,C3,48.0,mf,2.0,0.0,N,None,,False,2
Brass/Bass_Tuba/bisbigliando/BTb-bisb-C4-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,C4,60.0,mf,2.0,0.0,N,None,,False,0
Brass/Bass_Tuba/bisbigliando/BTb-bisb-D#2-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,D#2,39.0,mf,2.0,0.0,N,None,,False,3
Brass/Bass_Tuba/bisbigliando/BTb-bisb-D#3-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,D#3,51.0,mf,2.0,0.0,N,None,,False,3
Brass/Bass_Tuba/bisbigliando/BTb-bisb-D#4-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,D#4,63.0,mf,2.0,0.0,N,None,,False,3
Brass/Bass_Tuba/bisbigliando/BTb-bisb-D2-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,D2,38.0,mf,2.0,0.0,N,None,,False,1
Brass/Bass_Tuba/bisbigliando/BTb-bisb-D3-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,D3,50.0,mf,2.0,0.0,N,None,,False,2
Brass/Bass_Tuba/bisbigliando/BTb-bisb-D4-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,D4,62.0,mf,2.0,0.0,N,None,,False,1
Brass/Bass_Tuba/bisbigliando/BTb-bisb-E2-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,E2,40.0,mf,2.0,0.0,N,None,,False,0
Brass/Bass_Tuba/bisbigliando/BTb-bisb-E3-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,E3,52.0,mf,2.0,0.0,N,None,,False,3
Brass/Bass_Tuba/bisbigliando/BTb-bisb-E4-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,E4,64.0,mf,2.0,0.0,N,None,,False,3
Brass/Bass_Tuba/bisbigliando/BTb-bisb-F#1-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,F#1,30.0,mf,2.0,0.0,N,None,,False,3
Brass/Bass_Tuba/bisbigliando/BTb-bisb-F#2-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,F#2,42.0,mf,2.0,0.0,N,None,,False,2
Brass/Bass_Tuba/bisbigliando/BTb-bisb-F#3-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,F#3,54.0,mf,2.0,0.0,N,None,,False,0
Brass/Bass_Tuba/bisbigliando/BTb-bisb-F2-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,F2,41.0,mf,2.0,0.0,N,None,,False,0
Brass/Bass_Tuba/bisbigliando/BTb-bisb-F3-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,F3,53.0,mf,2.0,0.0,N,None,,False,1
Brass/Bass_Tuba/bisbigliando/BTb-bisb-F4-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,F4,65.0,mf,2.0,0.0,N,None,,False,3
Brass/Bass_Tuba/bisbigliando/BTb-bisb-G#1-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,G#1,32.0,mf,2.0,0.0,N,None,,False,3
Brass/Bass_Tuba/bisbigliando/BTb-bisb-G#2-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,G#2,44.0,mf,2.0,0.0,N,None,,False,3
Brass/Bass_Tuba/bisbigliando/BTb-bisb-G#3-mf-N-N.wav,Brass,Brass,BTb,Bass Tuba,bisb,bisbigliando,G#3,56.0,mf,2.0,0.0,N,None,,False,0
